# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  32.280700  31.968600  0.873607  31.562636  31.327000  0.648038
200  28.229907  27.978200  0.392285  27.976822  27.709400  0.450119
400  31.027614  30.631000  0.636088  30.135481  29.786200  0.232725
600  34.833069  34.255000  1.504208  41.756666  40.776600  2.620574
800  39.781165  39.013400  1.270973  38.607062  38.015000  1.466269
1000  48.643446  47.807000  1.716240  64.712841  240.981400  393.791967
1200  75.386896  73.487000  6.139058  1192.243470  1285.071000  1400.550715
1400  60.008027  58.821400  1.058830  68.954791  90.258200  63.893558
1600  54.634543  53.727000  0.653546  59.961746  334.523800  637.077725
1800  51.851962  50.872600  0.975029  54.332594  193.109400  452.055352
2000  50.609202  49.823000  1.145662  70.867718  337.855000  602.961629
2200  50.950721  49.762200  2.193158  57.299554  327.320600  709.753614
2400  54.124710  53.112600  1.975713  62.825049  159.016600  315.637853
2600  63.137639  61.602200  2.466444  75.172449  470.690200  873.811593
2800  148.428529  233.355800  204.301337  2612.486324  2180.952600  1704.921611
3000  247.314538  314.840600  253.037860  3250.613353  2234.667800  3569.987255
3200  2334.648771  2308.402200  1618.864516  2624.977266  2040.216600  2352.814291
