# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  26.545950  26.239000  0.660257  25.949909  25.712600  0.339951
200  23.242549  23.016600  0.383125  22.843157  22.683800  0.279865
400  23.379670  23.141400  0.171199  22.973296  22.839000  0.081322
600  23.867025  23.554200  0.435365  24.168739  23.743000  0.413049
800  26.263939  25.739800  0.663686  25.899009  25.531800  0.814545
1000  29.445625  28.930200  0.510375  29.431495  28.933400  0.816443
1200  33.725352  33.232600  0.453079  34.834875  34.007000  1.634825
1400  32.526341  32.311000  0.232383  32.699097  32.095000  0.555487
1600  29.821800  29.453400  0.280844  29.909614  29.591000  1.394526
1800  28.007458  27.488600  0.372987  27.931918  27.485400  1.149218
2000  26.732647  26.299800  0.440238  27.677051  27.090200  1.017977
2200  26.394196  25.635800  0.816855  26.407151  25.887000  1.458060
2400  27.141273  26.325400  0.711124  27.304469  26.586200  2.110586
2600  29.829326  28.866200  0.859968  30.360354  30.064600  4.072009
2800  44.334947  42.072600  8.104671  53.449525  110.879000  193.330678
3000  65.115129  62.527000  11.581613  77.236499  711.979800  2033.911329
3200  317.423063  310.821400  109.431792  256.797042  470.603800  760.222711
