NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    15%/70%   1         30        1          27m
home-timeline-service-hpa   Deployment/home-timeline-service   28%/70%   1         30        1          27m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          27m
media-service-hpa           Deployment/media-service           1%/70%    1         16        1          27m
nginx-thrift-hpa            Deployment/nginx-thrift            67%/70%   1         40        6          27m
post-storage-service-hpa    Deployment/post-storage-service    54%/70%   1         30        2          27m
social-graph-service-hpa    Deployment/social-graph-service    1%/70%    1         30        1          27m
text-service-hpa            Deployment/text-service            10%/70%   1         16        1          27m
unique-id-service-hpa       Deployment/unique-id-service       1%/70%    1         16        1          27m
url-shorten-service-hpa     Deployment/url-shorten-service     4%/70%    1         16        1          27m
user-mention-service-hpa    Deployment/user-mention-service    3%/70%    1         16        1          27m
user-service-hpa            Deployment/user-service            1%/70%    1         16        1          27m
user-timeline-service-hpa   Deployment/user-timeline-service   24%/70%   1         30        1          27m
