NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    21%/70%   1         30        1          39m
home-timeline-service-hpa   Deployment/home-timeline-service   49%/70%   1         30        1          39m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          39m
media-service-hpa           Deployment/media-service           2%/70%    1         16        1          39m
nginx-thrift-hpa            Deployment/nginx-thrift            67%/70%   1         40        12         39m
post-storage-service-hpa    Deployment/post-storage-service    60%/70%   1         30        4          39m
social-graph-service-hpa    Deployment/social-graph-service    2%/70%    1         30        1          39m
text-service-hpa            Deployment/text-service            14%/70%   1         16        1          39m
unique-id-service-hpa       Deployment/unique-id-service       2%/70%    1         16        1          39m
url-shorten-service-hpa     Deployment/url-shorten-service     6%/70%    1         16        1          39m
user-mention-service-hpa    Deployment/user-mention-service    5%/70%    1         16        1          39m
user-service-hpa            Deployment/user-service            2%/70%    1         16        1          39m
user-timeline-service-hpa   Deployment/user-timeline-service   35%/70%   1         30        1          39m
