NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    21%/70%   1         30        1          35m
home-timeline-service-hpa   Deployment/home-timeline-service   44%/70%   1         30        1          35m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          35m
media-service-hpa           Deployment/media-service           1%/70%    1         16        1          35m
nginx-thrift-hpa            Deployment/nginx-thrift            76%/70%   1         40        10         35m
post-storage-service-hpa    Deployment/post-storage-service    76%/70%   1         30        3          35m
social-graph-service-hpa    Deployment/social-graph-service    2%/70%    1         30        1          35m
text-service-hpa            Deployment/text-service            12%/70%   1         16        1          35m
unique-id-service-hpa       Deployment/unique-id-service       2%/70%    1         16        1          35m
url-shorten-service-hpa     Deployment/url-shorten-service     6%/70%    1         16        1          35m
user-mention-service-hpa    Deployment/user-mention-service    4%/70%    1         16        1          35m
user-service-hpa            Deployment/user-service            1%/70%    1         16        1          35m
user-timeline-service-hpa   Deployment/user-timeline-service   36%/70%   1         30        1          35m
