strategy,service,rps,run,pending_pod_seconds,pods_added,pending_time_per_pod
istio,details-v1,300,benchmark1.5-05-20-26_235948,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_020438,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_035218,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_053922,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_091625,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_110416,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_125250,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_144042,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_162813,0,0,
istio,details-v1,300,benchmark1.5-05-21-26_181553,0,0,
istio,productpage-v1,300,benchmark1.5-05-20-26_235948,12,4,3.0000
istio,productpage-v1,300,benchmark1.5-05-21-26_020438,13,4,3.2500
istio,productpage-v1,300,benchmark1.5-05-21-26_035218,16,4,4.0000
istio,productpage-v1,300,benchmark1.5-05-21-26_053922,15,5,3.0000
istio,productpage-v1,300,benchmark1.5-05-21-26_091625,13,4,3.2500
istio,productpage-v1,300,benchmark1.5-05-21-26_110416,14,4,3.5000
istio,productpage-v1,300,benchmark1.5-05-21-26_125250,17,4,4.2500
istio,productpage-v1,300,benchmark1.5-05-21-26_144042,15,4,3.7500
istio,productpage-v1,300,benchmark1.5-05-21-26_162813,12,4,3.0000
istio,productpage-v1,300,benchmark1.5-05-21-26_181553,13,4,3.2500
istio,ratings-v1,300,benchmark1.5-05-20-26_235948,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_020438,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_035218,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_053922,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_091625,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_110416,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_125250,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_144042,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_162813,0,0,
istio,ratings-v1,300,benchmark1.5-05-21-26_181553,0,0,
istio,reviews-v1,300,benchmark1.5-05-20-26_235948,4,1,4.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_020438,3,1,3.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_035218,4,1,4.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_053922,0,0,
istio,reviews-v1,300,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_110416,3,1,3.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_125250,3,1,3.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_144042,4,1,4.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_162813,3,1,3.0000
istio,reviews-v1,300,benchmark1.5-05-21-26_181553,4,1,4.0000
istio,reviews-v2,300,benchmark1.5-05-20-26_235948,7,2,3.5000
istio,reviews-v2,300,benchmark1.5-05-21-26_020438,10,3,3.3333
istio,reviews-v2,300,benchmark1.5-05-21-26_035218,11,3,3.6667
istio,reviews-v2,300,benchmark1.5-05-21-26_053922,8,2,4.0000
istio,reviews-v2,300,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,reviews-v2,300,benchmark1.5-05-21-26_110416,3,1,3.0000
istio,reviews-v2,300,benchmark1.5-05-21-26_125250,11,3,3.6667
istio,reviews-v2,300,benchmark1.5-05-21-26_144042,7,2,3.5000
istio,reviews-v2,300,benchmark1.5-05-21-26_162813,9,3,3.0000
istio,reviews-v2,300,benchmark1.5-05-21-26_181553,6,2,3.0000
istio,reviews-v3,300,benchmark1.5-05-20-26_235948,3,1,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_020438,6,2,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_035218,3,1,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_053922,9,3,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_091625,11,3,3.6667
istio,reviews-v3,300,benchmark1.5-05-21-26_110416,3,1,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_125250,8,2,4.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_144042,6,2,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_162813,3,1,3.0000
istio,reviews-v3,300,benchmark1.5-05-21-26_181553,5,2,2.5000
st5-AttUpd,details-v1,300,benchmark1.5-05-20-26_235948,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_020438,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_035218,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_053922,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_091625,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_110416,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_125250,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_144042,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_162813,0,0,
st5-AttUpd,details-v1,300,benchmark1.5-05-21-26_181553,0,0,
st5-AttUpd,productpage-v1,300,benchmark1.5-05-20-26_235948,17,4,4.2500
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_020438,16,4,4.0000
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_035218,21,4,5.2500
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_053922,17,4,4.2500
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_091625,20,4,5.0000
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_110416,20,4,5.0000
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_125250,19,4,4.7500
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_144042,18,4,4.5000
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_162813,15,4,3.7500
st5-AttUpd,productpage-v1,300,benchmark1.5-05-21-26_181553,17,4,4.2500
st5-AttUpd,ratings-v1,300,benchmark1.5-05-20-26_235948,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_020438,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_035218,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_053922,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_091625,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_110416,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_125250,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_144042,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_162813,0,0,
st5-AttUpd,ratings-v1,300,benchmark1.5-05-21-26_181553,0,0,
st5-AttUpd,reviews-v1,300,benchmark1.5-05-20-26_235948,5,1,5.0000
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_020438,0,0,
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_035218,5,1,5.0000
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_053922,5,1,5.0000
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_091625,4,1,4.0000
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_110416,5,1,5.0000
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_125250,0,0,
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_144042,4,1,4.0000
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_162813,0,0,
st5-AttUpd,reviews-v1,300,benchmark1.5-05-21-26_181553,0,0,
st5-AttUpd,reviews-v2,300,benchmark1.5-05-20-26_235948,4,1,4.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_020438,4,1,4.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_035218,5,1,5.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_053922,5,1,5.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_091625,10,2,5.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_110416,10,2,5.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_125250,12,2,6.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_144042,8,2,4.0000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_162813,11,2,5.5000
st5-AttUpd,reviews-v2,300,benchmark1.5-05-21-26_181553,11,3,3.6667
st5-AttUpd,reviews-v3,300,benchmark1.5-05-20-26_235948,10,2,5.0000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_020438,14,3,4.6667
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_035218,5,1,5.0000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_053922,6,1,6.0000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_091625,5,1,5.0000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_110416,11,2,5.5000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_125250,10,2,5.0000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_144042,5,1,5.0000
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_162813,13,3,4.3333
st5-AttUpd,reviews-v3,300,benchmark1.5-05-21-26_181553,6,1,6.0000
