strategy,service,rps,run,pending_pod_seconds,pods_added,pending_time_per_pod
istio,details-v1,400,benchmark1.5-05-20-26_235948,4,1,4.0000
istio,details-v1,400,benchmark1.5-05-21-26_020438,0,0,
istio,details-v1,400,benchmark1.5-05-21-26_035218,4,1,4.0000
istio,details-v1,400,benchmark1.5-05-21-26_053922,3,1,3.0000
istio,details-v1,400,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,details-v1,400,benchmark1.5-05-21-26_110416,0,0,
istio,details-v1,400,benchmark1.5-05-21-26_125250,0,0,
istio,details-v1,400,benchmark1.5-05-21-26_144042,3,1,3.0000
istio,details-v1,400,benchmark1.5-05-21-26_162813,3,1,3.0000
istio,details-v1,400,benchmark1.5-05-21-26_181553,0,0,
istio,productpage-v1,400,benchmark1.5-05-20-26_235948,15,5,3.0000
istio,productpage-v1,400,benchmark1.5-05-21-26_020438,22,6,3.6667
istio,productpage-v1,400,benchmark1.5-05-21-26_035218,17,6,2.8333
istio,productpage-v1,400,benchmark1.5-05-21-26_053922,17,6,2.8333
istio,productpage-v1,400,benchmark1.5-05-21-26_091625,20,6,3.3333
istio,productpage-v1,400,benchmark1.5-05-21-26_110416,22,6,3.6667
istio,productpage-v1,400,benchmark1.5-05-21-26_125250,18,5,3.6000
istio,productpage-v1,400,benchmark1.5-05-21-26_144042,15,5,3.0000
istio,productpage-v1,400,benchmark1.5-05-21-26_162813,18,6,3.0000
istio,productpage-v1,400,benchmark1.5-05-21-26_181553,18,6,3.0000
istio,ratings-v1,400,benchmark1.5-05-20-26_235948,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_020438,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_035218,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_053922,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_091625,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_110416,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_125250,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_144042,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_162813,0,0,
istio,ratings-v1,400,benchmark1.5-05-21-26_181553,0,0,
istio,reviews-v1,400,benchmark1.5-05-20-26_235948,5,1,5.0000
istio,reviews-v1,400,benchmark1.5-05-21-26_020438,0,0,
istio,reviews-v1,400,benchmark1.5-05-21-26_035218,3,1,3.0000
istio,reviews-v1,400,benchmark1.5-05-21-26_053922,3,1,3.0000
istio,reviews-v1,400,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,reviews-v1,400,benchmark1.5-05-21-26_110416,4,1,4.0000
istio,reviews-v1,400,benchmark1.5-05-21-26_125250,3,1,3.0000
istio,reviews-v1,400,benchmark1.5-05-21-26_144042,0,0,
istio,reviews-v1,400,benchmark1.5-05-21-26_162813,0,0,
istio,reviews-v1,400,benchmark1.5-05-21-26_181553,3,1,3.0000
istio,reviews-v2,400,benchmark1.5-05-20-26_235948,5,2,2.5000
istio,reviews-v2,400,benchmark1.5-05-21-26_020438,10,3,3.3333
istio,reviews-v2,400,benchmark1.5-05-21-26_035218,4,1,4.0000
istio,reviews-v2,400,benchmark1.5-05-21-26_053922,9,3,3.0000
istio,reviews-v2,400,benchmark1.5-05-21-26_091625,3,1,3.0000
istio,reviews-v2,400,benchmark1.5-05-21-26_110416,11,3,3.6667
istio,reviews-v2,400,benchmark1.5-05-21-26_125250,4,1,4.0000
istio,reviews-v2,400,benchmark1.5-05-21-26_144042,6,2,3.0000
istio,reviews-v2,400,benchmark1.5-05-21-26_162813,3,1,3.0000
istio,reviews-v2,400,benchmark1.5-05-21-26_181553,6,2,3.0000
istio,reviews-v3,400,benchmark1.5-05-20-26_235948,7,2,3.5000
istio,reviews-v3,400,benchmark1.5-05-21-26_020438,7,2,3.5000
istio,reviews-v3,400,benchmark1.5-05-21-26_035218,3,1,3.0000
istio,reviews-v3,400,benchmark1.5-05-21-26_053922,3,1,3.0000
istio,reviews-v3,400,benchmark1.5-05-21-26_091625,3,1,3.0000
