strategy,service,rps,n_runs,mean_pending_pod_seconds,stddev_pending_pod_seconds,n_runs_scaled,mean_pending_time_per_pod,stddev_pending_time_per_pod
st5-AttUpd,productpage-v1,400,10,29.1000,3.2472,10,4.7042,0.4323
st5-AttUpd,details-v1,400,10,4.2000,1.6865,9,4.6667,0.8660
st5-AttUpd,ratings-v1,400,10,0.0000,0.0000,0,0.0000,0.0000
st5-AttUpd,reviews-v1,400,10,3.3000,2.4060,7,4.7143,0.9512
st5-AttUpd,reviews-v2,400,10,10.3000,4.7854,10,4.6750,0.5068
st5-AttUpd,reviews-v3,400,10,11.8000,2.8206,10,4.7000,0.2699
istio,productpage-v1,400,10,18.2000,2.4855,10,3.1933,0.3402
istio,details-v1,400,10,2.0000,1.7638,6,3.3333,0.5164
istio,ratings-v1,400,10,0.0000,0.0000,0,0.0000,0.0000
istio,reviews-v1,400,10,2.4000,1.7764,7,3.4286,0.7868
istio,reviews-v2,400,10,6.1000,2.9231,10,3.2500,0.4922
istio,reviews-v3,400,10,4.8000,2.1499,10,3.3500,0.4116
