strategy,service,rps,second,n_runs,mean_pods,stddev_pods
st5-AttUpd,details-v1,900,0,10,1.0000,0.0000
st5-AttUpd,details-v1,900,1,10,1.0000,0.0000
st5-AttUpd,details-v1,900,2,10,1.0000,0.0000
st5-AttUpd,details-v1,900,3,10,1.0000,0.0000
st5-AttUpd,details-v1,900,4,10,1.0000,0.0000
st5-AttUpd,details-v1,900,5,10,1.0000,0.0000
st5-AttUpd,details-v1,900,6,10,1.0000,0.0000
st5-AttUpd,details-v1,900,7,10,1.0000,0.0000
st5-AttUpd,details-v1,900,8,10,1.0000,0.0000
st5-AttUpd,details-v1,900,9,10,1.0000,0.0000
st5-AttUpd,details-v1,900,10,10,1.0000,0.0000
st5-AttUpd,details-v1,900,11,10,1.0000,0.0000
st5-AttUpd,details-v1,900,12,10,1.0000,0.0000
st5-AttUpd,details-v1,900,13,10,1.0000,0.0000
st5-AttUpd,details-v1,900,14,10,1.0000,0.0000
st5-AttUpd,details-v1,900,15,10,1.0000,0.0000
st5-AttUpd,details-v1,900,16,10,1.0000,0.0000
st5-AttUpd,details-v1,900,17,10,1.0000,0.0000
st5-AttUpd,details-v1,900,18,10,1.0000,0.0000
st5-AttUpd,details-v1,900,19,10,1.0000,0.0000
st5-AttUpd,details-v1,900,20,10,1.0000,0.0000
st5-AttUpd,details-v1,900,21,10,1.0000,0.0000
st5-AttUpd,details-v1,900,22,10,1.0000,0.0000
st5-AttUpd,details-v1,900,23,10,1.0000,0.0000
st5-AttUpd,details-v1,900,24,10,1.0000,0.0000
st5-AttUpd,details-v1,900,25,10,1.0000,0.0000
st5-AttUpd,details-v1,900,26,10,1.0000,0.0000
st5-AttUpd,details-v1,900,27,10,1.0000,0.0000
st5-AttUpd,details-v1,900,28,10,1.0000,0.0000
st5-AttUpd,details-v1,900,29,10,1.0000,0.0000
st5-AttUpd,details-v1,900,30,10,1.0000,0.0000
st5-AttUpd,details-v1,900,31,10,1.0000,0.0000
st5-AttUpd,details-v1,900,32,10,1.0000,0.0000
st5-AttUpd,details-v1,900,33,10,1.0000,0.0000
st5-AttUpd,details-v1,900,34,10,1.0000,0.0000
st5-AttUpd,details-v1,900,35,10,1.0000,0.0000
st5-AttUpd,details-v1,900,36,10,1.0000,0.0000
st5-AttUpd,details-v1,900,37,10,1.0000,0.0000
st5-AttUpd,details-v1,900,38,10,1.0000,0.0000
st5-AttUpd,details-v1,900,39,10,1.0000,0.0000
st5-AttUpd,details-v1,900,40,10,1.0000,0.0000
st5-AttUpd,details-v1,900,41,10,1.0000,0.0000
st5-AttUpd,details-v1,900,42,10,1.0000,0.0000
st5-AttUpd,details-v1,900,43,10,1.0000,0.0000
st5-AttUpd,details-v1,900,44,10,1.0000,0.0000
st5-AttUpd,details-v1,900,45,10,1.0000,0.0000
st5-AttUpd,details-v1,900,46,10,1.0000,0.0000
st5-AttUpd,details-v1,900,47,10,1.0000,0.0000
st5-AttUpd,details-v1,900,48,10,1.0000,0.0000
st5-AttUpd,details-v1,900,49,10,1.0000,0.0000
st5-AttUpd,details-v1,900,50,10,1.0000,0.0000
