strategy,service,rps,second,n_runs,mean_pending_pods,stddev_pending_pods
st5-AttUpd,productpage-v1,400,0,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,1,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,2,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,3,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,4,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,5,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,6,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,7,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,8,9,0.0000,0.0000
st5-AttUpd,productpage-v1,400,9,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,10,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,11,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,12,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,13,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,14,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,15,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,16,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,17,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,18,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,19,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,20,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,21,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,22,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,23,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,24,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,25,10,0.6000,0.9661
st5-AttUpd,productpage-v1,400,26,10,1.2000,1.0328
st5-AttUpd,productpage-v1,400,27,10,1.3000,0.9487
st5-AttUpd,productpage-v1,400,28,10,1.3000,0.9487
st5-AttUpd,productpage-v1,400,29,10,0.9000,0.9944
st5-AttUpd,productpage-v1,400,30,10,0.8000,0.9189
st5-AttUpd,productpage-v1,400,31,10,0.2000,0.4216
st5-AttUpd,productpage-v1,400,32,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,33,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,34,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,35,9,0.0000,0.0000
st5-AttUpd,productpage-v1,400,36,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,37,9,0.0000,0.0000
st5-AttUpd,productpage-v1,400,38,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,39,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,40,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,41,10,0.6000,0.9661
st5-AttUpd,productpage-v1,400,42,9,0.5556,0.8819
st5-AttUpd,productpage-v1,400,43,10,0.7000,0.9487
st5-AttUpd,productpage-v1,400,44,10,0.6000,0.8433
st5-AttUpd,productpage-v1,400,45,10,0.6000,0.8433
st5-AttUpd,productpage-v1,400,46,10,0.2000,0.4216
st5-AttUpd,productpage-v1,400,47,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,48,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,49,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,50,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,51,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,52,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,53,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,54,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,55,9,0.2222,0.6667
st5-AttUpd,productpage-v1,400,56,10,0.6000,0.9661
st5-AttUpd,productpage-v1,400,57,10,0.6000,0.9661
st5-AttUpd,productpage-v1,400,58,10,0.6000,0.9661
st5-AttUpd,productpage-v1,400,59,10,0.6000,0.9661
st5-AttUpd,productpage-v1,400,60,10,0.3000,0.6749
st5-AttUpd,productpage-v1,400,61,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,62,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,63,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,64,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,65,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,66,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,67,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,68,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,69,10,0.0000,0.0000
st5-AttUpd,productpage-v1,400,70,10,0.2000,0.6325
st5-AttUpd,productpage-v1,400,71,10,1.0000,1.0541
st5-AttUpd,productpage-v1,400,72,10,1.4000,0.9661
st5-AttUpd,productpage-v1,400,73,9,1.3333,1.0000
st5-AttUpd,productpage-v1,400,74,9,1.2222,0.9718
