# rps  istio_pooled  istio_mean    istio_std    st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
50     44.690488     44.847874     4.359525     42.162106          42.080425        1.951814
100    102.451622    138.802655    116.192142   52.504833          65.022928        46.006063
200    624.061400    555.826536    118.591841   377.142156         452.545432       406.127374
300    11565.447075  10118.462844  2699.285772  12497.356731       11919.234783     1970.555437
400    20060.350147  17630.851275  2943.657549  23577.453562       20868.824969     4043.781334
500    20942.912702  20316.187302  1498.494690  34081.861172       27127.018199     6068.180749
600    25464.309623  23615.591562  3017.942642  38334.073964       35281.667291     4753.642396
700    30570.503339  28332.885840  3843.157232  40717.605842       37632.130816     5118.231874
800    41054.320893  34835.357907  6278.234840  49074.310245       45423.702921     5075.587208
900    51022.311695  44241.740406  7741.782574  59677.161605       53830.661420     6841.706119
1000   54203.144546  50156.697747  6013.676800  63646.373611       59815.400135     5823.538684
1100   59341.084917  50765.517962  7359.758479  66463.212037       60855.453939     6394.941904
1200   60683.320993  54533.840058  6447.611003  71732.960400       67780.648930     5629.550943
