strategy,service,rps,second,n_runs,mean_pods,stddev_pods
st5-AttUpd,details-v1,300,0,10,1.0000,0.0000
st5-AttUpd,details-v1,300,1,10,1.0000,0.0000
st5-AttUpd,details-v1,300,2,10,1.0000,0.0000
st5-AttUpd,details-v1,300,3,10,1.0000,0.0000
st5-AttUpd,details-v1,300,4,10,1.0000,0.0000
st5-AttUpd,details-v1,300,5,10,1.0000,0.0000
st5-AttUpd,details-v1,300,6,10,1.0000,0.0000
st5-AttUpd,details-v1,300,7,10,1.0000,0.0000
st5-AttUpd,details-v1,300,8,10,1.0000,0.0000
st5-AttUpd,details-v1,300,9,10,1.0000,0.0000
st5-AttUpd,details-v1,300,10,10,1.0000,0.0000
st5-AttUpd,details-v1,300,11,10,1.0000,0.0000
st5-AttUpd,details-v1,300,12,10,1.0000,0.0000
st5-AttUpd,details-v1,300,13,10,1.0000,0.0000
st5-AttUpd,details-v1,300,14,10,1.0000,0.0000
st5-AttUpd,details-v1,300,15,10,1.0000,0.0000
st5-AttUpd,details-v1,300,16,10,1.0000,0.0000
st5-AttUpd,details-v1,300,17,10,1.0000,0.0000
st5-AttUpd,details-v1,300,18,10,1.0000,0.0000
st5-AttUpd,details-v1,300,19,10,1.0000,0.0000
st5-AttUpd,details-v1,300,20,10,1.0000,0.0000
st5-AttUpd,details-v1,300,21,10,1.0000,0.0000
st5-AttUpd,details-v1,300,22,10,1.0000,0.0000
st5-AttUpd,details-v1,300,23,10,1.0000,0.0000
st5-AttUpd,details-v1,300,24,10,1.0000,0.0000
st5-AttUpd,details-v1,300,25,10,1.0000,0.0000
st5-AttUpd,details-v1,300,26,10,1.0000,0.0000
st5-AttUpd,details-v1,300,27,10,1.0000,0.0000
st5-AttUpd,details-v1,300,28,10,1.0000,0.0000
st5-AttUpd,details-v1,300,29,10,1.0000,0.0000
st5-AttUpd,details-v1,300,30,10,1.0000,0.0000
st5-AttUpd,details-v1,300,31,10,1.0000,0.0000
st5-AttUpd,details-v1,300,32,10,1.0000,0.0000
st5-AttUpd,details-v1,300,33,10,1.0000,0.0000
st5-AttUpd,details-v1,300,34,10,1.0000,0.0000
st5-AttUpd,details-v1,300,35,10,1.0000,0.0000
st5-AttUpd,details-v1,300,36,10,1.0000,0.0000
st5-AttUpd,details-v1,300,37,10,1.0000,0.0000
st5-AttUpd,details-v1,300,38,10,1.0000,0.0000
st5-AttUpd,details-v1,300,39,10,1.0000,0.0000
st5-AttUpd,details-v1,300,40,10,1.0000,0.0000
st5-AttUpd,details-v1,300,41,10,1.0000,0.0000
st5-AttUpd,details-v1,300,42,10,1.0000,0.0000
st5-AttUpd,details-v1,300,43,10,1.0000,0.0000
st5-AttUpd,details-v1,300,44,10,1.0000,0.0000
st5-AttUpd,details-v1,300,45,10,1.0000,0.0000
st5-AttUpd,details-v1,300,46,10,1.0000,0.0000
st5-AttUpd,details-v1,300,47,10,1.0000,0.0000
st5-AttUpd,details-v1,300,48,10,1.0000,0.0000
st5-AttUpd,details-v1,300,49,10,1.0000,0.0000
st5-AttUpd,details-v1,300,50,10,1.0000,0.0000
st5-AttUpd,details-v1,300,51,10,1.0000,0.0000
st5-AttUpd,details-v1,300,52,10,1.0000,0.0000
st5-AttUpd,details-v1,300,53,10,1.0000,0.0000
st5-AttUpd,details-v1,300,54,10,1.0000,0.0000
st5-AttUpd,details-v1,300,55,10,1.0000,0.0000
st5-AttUpd,details-v1,300,56,10,1.0000,0.0000
st5-AttUpd,details-v1,300,57,10,1.0000,0.0000
st5-AttUpd,details-v1,300,58,10,1.0000,0.0000
st5-AttUpd,details-v1,300,59,10,1.0000,0.0000
st5-AttUpd,details-v1,300,60,10,1.0000,0.0000
st5-AttUpd,details-v1,300,61,10,1.0000,0.0000
st5-AttUpd,details-v1,300,62,10,1.0000,0.0000
