# pooled-histogram percentiles vs per-run mean+/-std
#   rps strat        n_runs  n_samples   p50_pool   p50_mean   p50_std   p90_pool   p90_mean   p90_std   p99_pool   p99_mean   p99_std
    100 istio            10     104670     26.348     26.097     0.535     32.046     31.826     0.583     89.674     90.296    25.520
    100 st5-AttUpd       10     104674     26.363     26.089     0.414     31.852     31.690     0.585     53.019     53.096     4.787
    200 istio            10     209271     23.205     22.986     0.364     28.253     27.977     0.485     45.966     46.104     4.654
    200 st5-AttUpd       10     209308     22.900     22.703     0.211     27.813     27.522     0.546     42.751     42.457     1.713
    400 istio            10     437685     23.506     23.290     0.242     31.119     30.791     0.622    112.022    125.075    58.204
    400 st5-AttUpd       10     437688     23.079     22.895     0.171     30.153     29.738     0.560     54.158    143.992   189.452
    800 istio            10     890019     30.523     29.889     1.792   2849.913   2551.193  1304.847   8177.913   7382.661  1795.005
    800 st5-AttUpd       10     890043     55.025    245.925   599.851   7001.244   6327.909  2794.622  14971.306  13069.396  3397.551
   1200 istio            10    1322693     33.548     33.005     0.721     61.627     62.265     9.949    150.924    236.619   296.049
   1200 st5-AttUpd       10    1322702     33.319     32.991     1.658     71.028    220.748   429.725   2919.303   2092.339  1567.345
   1600 istio            10    1763994     30.790     30.289     0.410     59.351     58.837     3.741    153.272    253.713   234.851
   1600 st5-AttUpd       10    1763957     30.647     29.793     0.970     60.627    125.388   211.775   2198.549   1046.356  1564.563
   2000 istio            10    2204716     27.917     27.132     0.747     55.976     56.313     8.932    255.764    296.828   336.791
   2000 st5-AttUpd       10    2204565     28.061     27.117     0.739     64.293    107.970   138.236   2645.081   1818.903  1502.501
   2400 istio            10    2647357     40.175    110.788   227.207    768.263    868.207  1613.111   5537.592   1831.727  2548.552
   2400 st5-AttUpd       10    2506636   1516.455   2892.743  3135.090   9611.730   6794.607  5171.757  16125.167  10242.600  7215.428
   2800 istio            10    2691206   6709.047   6770.073  2198.745  14580.470  13669.989  3232.318  20665.406  17970.329  3404.214
   2800 st5-AttUpd       10    2669576   8461.547   8513.945  2894.842  16530.664  15848.242  3815.059  25692.436  21090.171  4547.882
   3200 istio            10    2621236  17427.224  16403.660   846.033  27933.610  27718.450   932.523  32693.309  32356.133  1230.690
   3200 st5-AttUpd       10    2619564  16413.295  15782.706   929.568  27819.041  27474.329  1562.389  33092.629  32411.838  1406.897
