# Pooled-histogram latency for istio
# QPS        p50(ms)      p90(ms)      p99(ms)
  50         28.12        32.57        51.75       
  100        26.34        31.24        61.33       
  200        24.26        31.29        122.53      
  300        23.04        40.28        933.28      
  400        21.72        956.15       5508.33     
  500        22.68        4667.11      7901.11     
  600        23.85        7712.66      11703.85    
  700        27.53        11049.00     15853.89    
  800        4081.26      15519.42     20347.86    
  900        1969.66      15177.90     21201.07    
  1000       7468.07      19323.27     25355.85    
  1100       9001.99      20097.65     26494.92    
  1200       12844.29     24266.17     30047.55    
