# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
50  28.118817  27.871000  0.460647  28.133288  27.842200  0.405810
100  26.340714  26.042200  0.308786  26.113188  25.907800  0.439154
200  24.259100  23.917400  0.631339  24.204745  23.979800  0.356161
300  23.036371  22.659800  0.529590  23.066200  22.709400  0.753764
400  21.722624  21.226200  0.576447  21.917013  21.383000  0.655165
500  22.680578  22.045400  0.863817  22.920398  22.248600  1.278626
600  23.851038  23.183000  2.326312  25.648455  25.123800  4.349921
700  27.534439  259.637400  600.696732  2266.551469  2604.845400  3964.766276
800  4081.260871  3184.920600  2782.395850  6623.158878  5072.578200  4491.424304
900  1969.657553  1969.677400  3559.875213  10326.411887  8980.581400  5605.959454
1000  7468.072059  5919.435800  4294.217796  15245.736797  14446.181400  3434.017422
1100  9001.988818  7634.738200  3631.595521  15500.135305  16361.061400  8960.442737
1200  12844.292737  11747.327000  4015.829010  18534.758666  17721.752600  5006.480628
