# rps  istio_p50  istio_p90  istio_p99  st5-AttUpd_p50  st5-AttUpd_p90  st5-AttUpd_p99
50  28.118817  32.569507  51.751889  28.133288  32.611824  45.215240
100  26.340714  31.238060  61.334680  26.113188  31.098766  48.755240
200  24.259100  31.289970  122.531655  24.204745  31.853467  132.896745
300  23.036371  40.275378  933.283250  23.066200  54.896909  1527.478596
400  21.722624  956.152538  5508.334035  21.917013  492.982527  4344.799142
500  22.680578  4667.114946  7901.108187  22.920398  5019.885281  8260.449408
600  23.851038  7712.664238  11703.845034  25.648455  9125.974771  14339.458454
700  27.534439  11049.001171  15853.894680  2266.551469  15343.961821  31774.757406
800  4081.260871  15519.415320  20347.856508  6623.158878  17436.155322  24351.946816
900  1969.657553  15177.901738  21201.072964  10326.411887  22594.856331  33664.618182
1000  7468.072059  19323.269982  25355.854752  15245.736797  26024.579315  31521.965211
1100  9001.988818  20097.649763  26494.917168  15500.135305  29121.448860  52563.810966
1200  12844.292737  24266.172419  30047.553549  18534.758666  29832.168962  37985.515252
