# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
50  32.569507  32.333400  0.597878  32.611824  32.392600  0.639208
100  31.238060  31.093400  0.508555  31.098766  30.882200  0.625016
200  31.289970  31.117400  1.362110  31.853467  31.663000  1.089881
300  40.275378  40.317400  10.868822  54.896909  93.890200  158.729899
400  956.152538  1249.266200  964.201173  492.982527  583.575000  570.382653
500  4667.114946  4437.195800  715.184616  5019.885281  4708.555800  1160.776839
600  7712.664238  7465.778200  1162.982005  9125.974771  8716.287000  1636.807475
700  11049.001171  10729.880600  1818.405862  15343.961821  14465.432600  7211.990817
800  15519.415320  14680.063000  2722.391129  17436.155322  16714.136600  3232.073751
900  15177.901738  14551.448600  2992.038331  22594.856331  21314.763800  5141.154934
1000  19323.269982  18704.792600  3205.628332  26024.579315  25308.363800  2763.445999
1100  20097.649763  19535.461400  3104.243317  29121.448860  28403.301400  10182.887617
1200  24266.172419  22654.155800  3916.199097  29832.168962  28126.411800  4970.011678
