# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
50  51.751889  51.121281  5.674417  45.215240  44.287176  1.963766
100  61.334680  62.013456  11.300214  48.755240  48.205993  2.613772
200  122.531655  116.542472  28.546917  132.896745  129.964136  26.807184
300  933.283250  903.604927  829.749004  1527.478596  1285.767795  660.648014
400  5508.334035  4677.896794  1697.318603  4344.799142  3730.055910  1437.290110
500  7901.108187  7640.451242  808.311798  8260.449408  7848.447852  1154.082496
600  11703.845034  11064.954889  1515.058375  14339.458454  13556.315573  2060.632782
700  15853.894680  14583.913134  1975.734644  31774.757406  19868.583341  9044.754619
800  20347.856508  18555.391590  2986.443782  24351.946816  22102.208400  4227.124564
900  21201.072964  17881.351419  3110.038361  33664.618182  26858.321647  6411.555074
1000  25355.854752  22010.937570  3509.173900  31521.965211  30260.295198  2096.776873
1100  26494.917168  22591.587369  3241.884246  52563.810966  33284.778453  11505.757337
1200  30047.553549  25826.775363  4073.410758  37985.515252  33397.179192  5833.236866
