min_ready_time       max_ready_time      
41407407             41911545            
42150391             42150431            
42025624             42641022            
42134704             42749540            
42591128             43105171            
43108121             43642513            
44275957             44276004            
44617181             44617278            
44664035             44664119            
44477940             45087834            
45268468             45268532            
45324400             45324662            
44950466             45497210            
45580697             45580734            
45301921             45817945            
45967414             45967474            
46080125             46080187            
45481513             46673300            
47035655             47035709            
46674503             47238086            
47497811             47497840            
47642221             47642287            
49533972             49534040            
49125009             49768041            
52120199             52120211            
