min_ready_time       max_ready_time      
45324400             45324662            
42025624             42641022            
47497811             47497840            
42134704             42749540            
43108121             43642513            
49533972             49534040            
42591128             43105171            
44664035             44664119            
52120199             52120211            
44275957             44276004            
45268468             45268532            
44617181             44617278            
45967414             45967474            
47035655             47035709            
47642221             47642287            
44477940             45087834            
46080125             46080187            
45301921             45817945            
45580697             45580734            
46674503             47238086            
44950466             45497210            
49125009             49768041            
42150391             42150431            
45481513             46673300            
41407407             41911545            
