min_ready_time       max_ready_time      
20632721             20632766            
23875338             23875352            
22515339             22515512            
25191152             25191232            
23221597             23823941            
24546793             24546880            
23263648             23874381            
22720063             22720140            
21478415             21478513            
22062400             22073727            
23489114             23489133            
22747748             23362262            
21836453             21836514            
23522679             23522852            
25287188             25287216            
20933264             20933291            
22727842             22727874            
23813005             23813150            
22864115             22864201            
23691283             24307685            
23199733             23199802            
23818903             24317417            
23779395             24401443            
21454163             21935376            
21762060             21762161            
