# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  26.102057  25.839000  0.302828  25.858343  25.491800  0.498948
200  23.273625  23.178200  0.277338  23.116825  23.024600  0.248381
400  24.041286  23.845400  0.202133  23.707736  23.480600  0.233110
800  33.149740  32.535000  2.841363  47.093013  104.925400  117.603263
1200  35.578514  34.917400  0.488994  36.581593  37.163800  6.791312
1600  29.966711  29.691800  0.260603  30.573922  29.815000  0.820302
2000  26.765679  26.251800  0.810309  26.974022  26.167000  0.869849
2400  40.345029  42.347800  15.990520  3291.872618  3261.015000  1432.019832
2800  7709.777699  7425.227800  801.867601  8921.254597  8448.818200  1032.861898
3200  16329.884445  15637.707800  768.908896  16434.236492  15861.349400  708.109833
