# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  347.849993  325.692904  117.893631  166.538520  223.509963  243.767018
200  45.561720  45.559562  3.096792  43.334304  42.968107  1.578461
400  78.777692  87.467876  34.989659  52.304374  52.927389  4.450529
800  8890.579028  8379.876991  1619.884817  12939.212174  11710.428670  3062.571890
1200  658.517891  623.804338  144.067678  4637.040213  3768.130710  2045.683407
1600  103.430901  118.403119  53.992945  2633.990964  2216.349514  1256.166488
2000  85.782385  84.410181  4.313357  85.880282  84.945221  4.490339
2400  2288.232355  1845.061461  797.952516  12296.797461  9503.196117  4219.842885
2800  18820.785927  18159.554464  1511.898628  19949.184962  19176.511860  1540.123920
3200  31933.662270  31206.300858  1586.875671  31941.987873  31655.550558  874.026593
