# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  32.045901  31.826200  0.583156  31.852087  31.690200  0.585407
200  28.253102  27.976600  0.485316  27.813114  27.522200  0.546285
400  31.118978  30.791000  0.621705  30.153225  29.738200  0.559520
800  2849.912666  2551.192600  1304.846949  7001.244215  6327.909400  2794.622353
1200  61.627203  62.264600  9.948573  71.028481  220.747800  429.725491
1600  59.351478  58.837400  3.741037  60.626652  125.387800  211.775483
2000  55.975681  56.312600  8.932196  64.292578  107.970200  138.236429
2400  768.262588  868.207000  1613.110721  9611.730078  6794.607000  5171.757267
2800  14580.469897  13669.989400  3232.318289  16530.664065  15848.242200  3815.059344
3200  27933.610499  27718.450200  932.523266  27819.041345  27474.328600  1562.389060
