# rps  istio_pooled  istio_mean  istio_std  st5-AttUpd_pooled  st5-AttUpd_mean  st5-AttUpd_std
100  89.673541  90.295748  25.520188  53.019461  53.096436  4.787458
200  45.966389  46.103646  4.654270  42.750680  42.457396  1.713172
400  112.021729  125.075484  58.204219  54.158089  143.992328  189.452167
800  8177.913146  7382.661371  1795.004541  14971.305605  13069.395776  3397.551238
1200  150.923900  236.619362  296.049088  2919.303401  2092.338896  1567.345130
1600  153.271826  253.713422  234.851176  2198.549266  1046.356342  1564.562764
2000  255.763569  296.828072  336.791343  2645.080905  1818.902749  1502.501263
2400  5537.591930  1831.727137  2548.552187  16125.166789  10242.600098  7215.428461
2800  20665.405892  17970.329222  3404.213980  25692.436020  21090.171446  4547.881920
3200  32693.308571  32356.132704  1230.690267  33092.629453  32411.838304  1406.897167
