# rps  istio_p50  istio_p90  istio_p99  st5-AttUpd_p50  st5-AttUpd_p90  st5-AttUpd_p99
100  26.347839  32.045901  89.673541  26.363441  31.852087  53.019461
200  23.205359  28.253102  45.966389  22.900328  27.813114  42.750680
400  23.505557  31.118978  112.021729  23.079482  30.153225  54.158089
800  30.523141  2849.912666  8177.913146  55.025052  7001.244215  14971.305605
1200  33.548386  61.627203  150.923900  33.318529  71.028481  2919.303401
1600  30.789819  59.351478  153.271826  30.647417  60.626652  2198.549266
2000  27.917132  55.975681  255.763569  28.060927  64.292578  2645.080905
2400  40.174816  768.262588  5537.591930  1516.455474  9611.730078  16125.166789
2800  6709.046879  14580.469897  20665.405892  8461.546608  16530.664065  25692.436020
3200  17427.223918  27933.610499  32693.308571  16413.295431  27819.041345  33092.629453
