min_ready_time       max_ready_time      
7583926              7583940             
8606203              8606270             
7472077              7472099             
7401919              7402121             
7927188              8455480             
7896376              7896443             
7781907              7782016             
7854742              7854756             
7579619              7579721             
8245099              8245108             
7555333              7555370             
7022464              7022545             
7215221              7215426             
7711467              7711489             
7205586              7205632             
7243441              7243497             
8408112              8408123             
7612226              8110283             
8432882              8432975             
7422173              7422234             
6848502              6848682             
7860774              8497299             
7655063              8335988             
7401891              7401917             
7672774              7673381             
