timestamp,service,phase,ready
1789065619,compose-post-service,Running,True
1789065619,home-timeline-redis,Running,True
1789065619,home-timeline-service,Running,True
1789065619,jaeger,Running,True
1789065619,media-frontend,Running,True
1789065619,media-service,Running,True
1789065619,mongodb-sharded-configsvr,Running,True
1789065619,mongodb-sharded-mongos,Running,True
1789065619,mongodb-sharded-mongos,Running,True
1789065619,mongodb-sharded-mongos,Running,True
1789065619,mongodb-sharded-shardsvr,Running,True
1789065619,mongodb-sharded-shardsvr,Running,True
1789065619,mongodb-sharded-shardsvr,Running,True
1789065619,mongodb-sharded-shardsvr,Running,True
1789065619,mongodb-sharded-shardsvr,Running,True
1789065619,mongodb-sharded-shardsvr,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,nginx-thrift,Running,True
1789065619,post-storage-service,Running,True
1789065619,post-storage-service,Running,True
1789065619,post-storage-service,Running,True
1789065619,social-graph-redis,Running,True
1789065619,social-graph-service,Running,True
1789065619,social-network-mcrouter,Running,True
1789065619,social-network-mcrouter,Running,True
1789065619,social-network-mcrouter,Running,True
1789065619,memcached,Running,True
1789065619,memcached,Running,True
1789065619,memcached,Running,True
1789065619,memcached,Running,True
1789065619,memcached,Running,True
1789065619,memcached,Running,True
1789065619,text-service,Running,True
1789065619,unique-id-service,Running,True
1789065619,url-shorten-service,Running,True
1789065619,user-mention-service,Running,True
1789065619,user-service,Running,True
1789065619,user-timeline-redis,Running,True
1789065619,user-timeline-service,Running,True
1789065620,compose-post-service,Running,True
1789065620,home-timeline-redis,Running,True
1789065620,home-timeline-service,Running,True
1789065620,jaeger,Running,True
1789065620,media-frontend,Running,True
1789065620,media-service,Running,True
1789065620,mongodb-sharded-configsvr,Running,True
1789065620,mongodb-sharded-mongos,Running,True
1789065620,mongodb-sharded-mongos,Running,True
1789065620,mongodb-sharded-mongos,Running,True
1789065620,mongodb-sharded-shardsvr,Running,True
1789065620,mongodb-sharded-shardsvr,Running,True
1789065620,mongodb-sharded-shardsvr,Running,True
1789065620,mongodb-sharded-shardsvr,Running,True
1789065620,mongodb-sharded-shardsvr,Running,True
1789065620,mongodb-sharded-shardsvr,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,nginx-thrift,Running,True
1789065620,post-storage-service,Running,True
1789065620,post-storage-service,Running,True
1789065620,post-storage-service,Running,True
