NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    8%/70%    1         30        1          19m
home-timeline-service-hpa   Deployment/home-timeline-service   14%/70%   1         30        1          19m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          19m
media-service-hpa           Deployment/media-service           0%/70%    1         16        1          19m
nginx-thrift-hpa            Deployment/nginx-thrift            61%/70%   1         40        3          19m
post-storage-service-hpa    Deployment/post-storage-service    45%/70%   1         30        1          19m
social-graph-service-hpa    Deployment/social-graph-service    1%/70%    1         30        1          19m
text-service-hpa            Deployment/text-service            5%/70%    1         16        1          19m
unique-id-service-hpa       Deployment/unique-id-service       0%/70%    1         16        1          19m
url-shorten-service-hpa     Deployment/url-shorten-service     2%/70%    1         16        1          19m
user-mention-service-hpa    Deployment/user-mention-service    1%/70%    1         16        1          19m
user-service-hpa            Deployment/user-service            0%/70%    1         16        1          19m
user-timeline-service-hpa   Deployment/user-timeline-service   13%/70%   1         30        1          19m
