NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    24%/70%   1         30        1          47m
home-timeline-service-hpa   Deployment/home-timeline-service   35%/70%   1         30        1          47m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          47m
media-service-hpa           Deployment/media-service           1%/70%    1         16        1          47m
nginx-thrift-hpa            Deployment/nginx-thrift            62%/70%   1         40        10         47m
post-storage-service-hpa    Deployment/post-storage-service    67%/70%   1         30        3          47m
social-graph-service-hpa    Deployment/social-graph-service    2%/70%    1         30        1          47m
text-service-hpa            Deployment/text-service            13%/70%   1         16        1          47m
unique-id-service-hpa       Deployment/unique-id-service       1%/70%    1         16        1          47m
url-shorten-service-hpa     Deployment/url-shorten-service     7%/70%    1         16        1          47m
user-mention-service-hpa    Deployment/user-mention-service    5%/70%    1         16        1          47m
user-service-hpa            Deployment/user-service            1%/70%    1         16        1          47m
user-timeline-service-hpa   Deployment/user-timeline-service   21%/70%   1         30        1          47m
