NAME                        REFERENCE                          TARGETS   MINPODS   MAXPODS   REPLICAS   AGE
compose-post-service-hpa    Deployment/compose-post-service    23%/70%   1         30        1          51m
home-timeline-service-hpa   Deployment/home-timeline-service   37%/70%   1         30        1          51m
media-frontend-hpa          Deployment/media-frontend          0%/70%    1         16        1          51m
media-service-hpa           Deployment/media-service           1%/70%    1         16        1          51m
nginx-thrift-hpa            Deployment/nginx-thrift            66%/70%   1         40        10         51m
post-storage-service-hpa    Deployment/post-storage-service    69%/70%   1         30        3          51m
social-graph-service-hpa    Deployment/social-graph-service    2%/70%    1         30        1          51m
text-service-hpa            Deployment/text-service            12%/70%   1         16        1          51m
unique-id-service-hpa       Deployment/unique-id-service       1%/70%    1         16        1          51m
url-shorten-service-hpa     Deployment/url-shorten-service     7%/70%    1         16        1          51m
user-mention-service-hpa    Deployment/user-mention-service    5%/70%    1         16        1          51m
user-service-hpa            Deployment/user-service            1%/70%    1         16        1          51m
user-timeline-service-hpa   Deployment/user-timeline-service   24%/70%   1         30        1          51m
