# p99 latency (s) vs qps
# qps           istio           st2-NIChaRes    st3-TokRev      st4-AudUpd      st5-AttUpd     
50              0.046           0.044           0.049           0.046           0.047
100             0.055           0.045           0.045           0.048           8.208
150             0.053           0.043           0.051           0.051           0.047
200             0.080           0.046           0.054           0.049           0.127
250             0.492           1.861           1.106           0.503           1.794
300             10.322          13.984          13.746          5.992           10.215
350             6.877           11.559          15.688          26.001          12.870
400             16.286          17.760          31.293          27.197          28.967
450             18.891          32.670          31.654          31.588          33.915
500             19.579          31.048          42.697          42.697          27.460
