# p90 latency (s) vs qps
# qps           istio           st2-NIChaRes    st3-TokRev      st4-AudUpd      st5-AttUpd     
50              0.032           0.033           0.033           0.032           0.033
100             0.031           0.030           0.030           0.031           3.844
150             0.030           0.029           0.030           0.031           0.030
200             0.030           0.029           0.028           0.029           0.031
250             0.057           0.031           0.029           0.031           0.222
300             4.110           7.025           6.836           1.243           4.657
350             0.040           4.751           8.163           17.138          5.345
400             8.577           11.207          22.102          17.531          16.990
450             10.420          24.265          20.152          21.709          24.822
500             11.067          22.725          33.358          31.965          19.366
